"","date","copies_mL","site","copies_uL"
"1","2022-07-11",15,"BO",1.5
"2","2022-07-12",30,"BO",1.5
"3","2022-07-13",30,"BO",1.5
"4","2022-07-14",40.5066261957025,"BO",2.02533130978512
"5","2022-07-15",41.7850645415331,"BO",2.08925322707666
"6","2022-07-16",206.382029047746,"BO",6.19146087143238
"7","2022-07-17",148.916885455028,"BO",4.46750656365085
"8","2022-07-18",146.048796293146,"BO",4.38146388879438
"9","2022-07-19",119.805330735145,"BO",3.59415992205436
"10","2022-07-07",28.0179945187599,"BO",2.80179945187599
"11","2022-07-08",24.9593760635147,"BO",2.49593760635147
"12","2022-07-09",15,"BO",1.5
"13","2022-07-11",4.74119887219462,"C2",4.74119887219462
"14","2022-07-12",1.5,"C2",1.5
"15","2022-07-13",3.27900568159321,"C2",3.27900568159321
"16","2022-07-14",1.5,"C2",1.5
"17","2022-07-15",1.5,"C2",1.5
"18","2022-07-16",4.41018177362293,"C2",4.41018177362293
"19","2022-07-17",5.94590516699395,"C2",5.94590516699395
"20","2022-07-18",3.34551532033581,"C2",3.34551532033581
"21","2022-07-19",1.5,"C2",1.5
"22","2022-07-07",1.5,"C2",1.5
"23","2022-07-08",6.22785205768875,"C2",6.22785205768875
"24","2022-07-09",2.39220922180925,"C2",2.39220922180925
"25","2022-07-11",2.31501275098087,"RD",2.31501275098087
"26","2022-07-12",1.5,"RD",1.5
"27","2022-07-13",3.5487094893696,"RD",3.5487094893696
"28","2022-07-14",1.5,"RD",1.5
"29","2022-07-15",3.72760693210701,"RD",3.72760693210701
"30","2022-07-16",2.51486323546425,"RD",2.51486323546425
"31","2022-07-17",1.5,"RD",1.5
"32","2022-07-18",1.5,"RD",1.5
"33","2022-07-19",4.57855636556779,"RD",4.57855636556779
"34","2022-07-07",1.5,"RD",1.5
"35","2022-07-08",4.67168118262086,"RD",4.67168118262086
"36","2022-07-09",3.63659519350904,"RD",3.63659519350904
"37",NA,NA,NA,7163.21575675293
