copies_mL,Temperature,Salinity,DO_mgL,pH,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP,cfu_tot,cfu_gre,cfu_yel,hf_copies_mL,Vv,Vp,Va,Vc,tot_bacteria,tss,VAI,dust,dust_lag
2031.0074103083398,0,1.9499999999999993,-0.07999999999999918,0.33999999999999986,-3.870000000000001,397.25,2.799999999999997,207.45000000000005,17.44999999999999,-0.04850000000000004,-0.025999999999999995,0.04300000000000001,-0.03000000000000025,-21.2235,-0.07450000000000001,2.8744999999999976,-0.022885124461083012,-406.66666666666697,-123.3333333333333,-283.33333333333303,0,-3.0586184552450995,0,0,1028.91785825554,-22885138.5944046,-8.799999999999017,1.628344079970765e-4,0,-0.04000000000000001
-1123.3801512072505,-0.09999999999999787,0.34999999999999787,-0.5500000000000007,0.9299999999999997,4.085000000000001,-232.35000000000002,-5.75,125.29999999999995,0.9499999999999886,-0.062,-0.0069999999999999785,0.011999999999999983,0.5265,17.349999999999994,-0.06899999999999995,-5.680999999999997,-0.05524568268860999,-53.333333333333,-20,-33.333333333334,0,-13.442709396848098,0,0,-529.5242432623011,-3257862.212529799,38.33333333333201,2.8350593458640016e-5,0.03,0
4195.4888686647,0.8000000000000007,8.950000000000003,-1.5699999999999994,-1.3100000000000005,-2.835000000000001,-34.10000000000002,-0.14999999999999858,-326.14999999999986,-53.14999999999999,0.2025,-0.0010000000000000009,0.014000000000000012,-1.262,21.132999999999996,0.2015,-0.3515000000000015,0.193121777180031,-113.3333333333333,-26.6666666666667,-86.6666666666663,0,0,0,0,-499.393614993239,-6276153.333080671,-30.733333333333007,6.9276618034695e-4,-0.04000000000000001,-0.010000000000000009
-6728.59610750894,-0.10000000000000142,-5.100000000000001,0.8499999999999996,-0.4899999999999993,18.509999999999998,-17.799999999999955,8.649999999999999,166.8499999999999,37.14999999999999,0.22799999999999998,0.922,0.19649999999999998,0.8265000000000002,-10.822499999999991,1.15,7.5,0.28424437674745,83.3333333333333,30,53.3333333333333,0,14.299048877696698,3.36,3.5416666666666603,285,1301927.7252806006,150.763636363637,-6.4309373178275e-4,-0.03,0
2821.05328996981,0.5,-1.3900000000000006,-0.5700000000000003,0.96,-11.665,-63.10000000000002,4.799999999999997,92.20000000000005,13.900000000000006,-0.2849999999999999,-0.925,-0.3015,-1.9585000000000001,-20.958,-1.21,6.009999999999998,0.05656201193807797,-36.6666666666667,-33.33333333333333,-3.3333333333333,24710.1907526103,-9.7490488776967,0,0,0,4501453.78095337,-184.863636363637,-2.7385238048549998e-5,0.14,-0.03
13892.89336689393,-0.8000000000000007,-3.969999999999999,-0.41999999999999993,-0.40000000000000036,9.765,-12.600000000000023,-11.799999999999997,-23.40000000000009,-8.299999999999983,0.49749999999999994,-0.04050000000000001,0.008000000000000007,0.6300000000000001,-9.179000000000002,0.4570000000000001,-12.256999999999998,0.00826743624307702,266.6666666666667,26.66666666666663,240.00000000000034,-24710.1907526103,33.597657298799696,0,0,759.1018071281401,-806370.7434813697,58,5.8096592868384e-4,-0.03,0.14
-12807.63103178024,-1.0999999999999979,-5.66,2.4700000000000006,0.4400000000000013,21.685000000000002,-3.5,9.900000000000006,144.25,41,-0.36450000000000005,6.549,0.1015,-1.0910000000000002,6.235500000000002,6.1845,3.7154999999999987,12.271344658402498,100,40,60,0,-7.160348735042895,0,0,377.0702764822199,-4233595.541166221,72.00000000000102,-2.4473329619723006e-4,0,-0.03
-534.5898619733998,-0.20000000000000284,-1.0399999999999991,1.7899999999999991,-0.09000000000000163,-31.92,-5.75,32.64999999999999,-32.5,54.349999999999966,1.041875,-6.48,-0.09675000000000002,-0.479875,70.86512499999999,-5.438124999999999,38.088125000000005,9.352508514948502,316.66666666666697,43.3333333333337,273.333333333333,120319.175523075,170.8447204839892,4.4799999999999995,4.722222222222269,3401.89355153555,58136944.07102699,-35.5,-5.668038365329936e-4,0.3999999999999999,0
9154.30250925954,0.20000000000000284,-2.0500000000000007,-0.21999999999999886,-0.5699999999999985,11.835,3.4500000000000455,17,140.45000000000005,47.75,-0.631375,52.006499999999996,0.24375000000000002,6.663375,-38.393625,51.375125,-34.375125000000004,-14.43849453844659,-289.99999999999994,-26.666666666667,-263.333333333333,-94304.239486173,-54.854613223602,0,0,2446.6118494193797,-44322847.2059784,143.99999999999795,2.9885880313659373e-4,-0.019999999999999907,0.3999999999999999
-4712.6062230751995,0.8999999999999986,1.9700000000000024,-0.15000000000000036,0.879999999999999,56.919999999999995,502.25,-18,475.54999999999995,-0.5499999999999545,-0.4105000000000001,-52.034,-0.252,-3.285,-34.40299999999999,-52.4445,34.4445,-7.650252733610134,-146.66666666666703,0,-146.66666666666703,7440508.091241148,-5.478619530997975,0,0,-5862.07459636069,6659596.508995302,-157.49999999999898,-1.6018269988145e-4,0,-0.019999999999999907
5280.041015875999,-0.8999999999999986,-3.8100000000000023,-0.9199999999999999,-0.20999999999999908,-12.134999999999991,-636.6500000000001,-20.64999999999999,-513.6999999999998,-50.35000000000002,-0.17199999999999993,33.1955,0.10400000000000001,5.773499999999999,21.65549999999999,33.0235,-53.6735,3.419219997124474,-223.333333333333,-60,-163.33333333333331,-6088454.42369059,-32.555448421479014,0,0,-742.6028882046,5160968.391770396,-46.000000000000995,3.479060084185e-5,-0.38,0
