,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,,Std,,25.8254798242301,3710000
,A02,Cy5,,Std,,25.6702862328162,3710000
,A03,Cy5,,Std,,25.5412359556148,3710000
,A04,Cy5,,Std,,25.6390628131965,3710000
,A05,Cy5,,Std,,25.4724523396959,3710000
,C01,Cy5,,Std,,25.7666741548806,371000
,C02,Cy5,,Std,,25.4974588064749,371000
,C03,Cy5,,Std,,25.5644365255843,371000
,C04,Cy5,,Std,,25.3885711504414,371000
,C05,Cy5,,Std,,25.7139923203113,371000
,E01,Cy5,,Std,,25.7194537411268,37100
,E02,Cy5,,Std,,25.7463212081764,37100
,E03,Cy5,,Std,,25.6123309412831,37100
,E04,Cy5,,Std,,25.6556180752155,37100
,E05,Cy5,,Std,,25.6685700432185,37100
,G01,Cy5,,Std,,26.0512631507764,3710
,G02,Cy5,,Std,,25.7232030474027,3710
,G03,Cy5,,Std,,25.8375841382369,3710
,G04,Cy5,,Std,,25.9003750132324,3710
,G05,Cy5,,Std,,25.8251589138129,3710
,I01,Cy5,,Std,,26.0324188324351,371
,I02,Cy5,,Std,,26.025719439011,371
,I03,Cy5,,Std,,25.6726124746304,371
,I04,Cy5,,Std,,26.0062508919959,371
,I05,Cy5,,Std,,25.6834908179996,371
,K01,Cy5,,Std,,26.2928957161034,37.1
,K02,Cy5,,Std,,25.8696245068309,37.1
,K03,Cy5,,Std,,25.6537396705686,37.1
,K04,Cy5,,Std,,25.623291635152,37.1
,K05,Cy5,,Std,,25.7454193092032,37.1
,M01,Cy5,,Std,,26.0461394713755,3.71
,M02,Cy5,,Std,,25.816425690827,3.71
,M03,Cy5,,Std,,25.7849974212683,3.71
,M04,Cy5,,Std,,25.5103527752148,3.71
,M05,Cy5,,Std,,25.7533037518326,3.71
,O01,Cy5,,Std,,25.8169869736982,0.371
,O02,Cy5,,Std,,25.664540304865,0.371
,O03,Cy5,,Std,,25.7721899715945,0.371
,O04,Cy5,,Std,,25.7446017971688,0.371
,O05,Cy5,,Std,,25.7328663912932,0.371
,P20,Cy5,,NTC,NTC,25.8036597713874,NaN
,P21,Cy5,,NTC,NTC,25.5893942273,NaN
,P22,Cy5,,NTC,NTC,25.719173571221,NaN
,P23,Cy5,,NTC,NTC,25.9564600658303,NaN
,P24,Cy5,,NTC,NTC,25.9150673024369,NaN
,A01,HEX,,Std,,17.5049803072238,3710000
,A02,HEX,,Std,,17.3839111626264,3710000
,A03,HEX,,Std,,17.3185422096199,3710000
,A04,HEX,,Std,,17.3032877843571,3710000
,A05,HEX,,Std,,17.1987916014982,3710000
,C01,HEX,,Std,,20.792776868397,371000
,C02,HEX,,Std,,20.6879648722894,371000
,C03,HEX,,Std,,20.6838108752594,371000
,C04,HEX,,Std,,20.527210902751,371000
,C05,HEX,,Std,,20.61647352483,371000
,E01,HEX,,Std,,24.1147646616146,37100
,E02,HEX,,Std,,24.1317851419439,37100
,E03,HEX,,Std,,24.1093530351024,37100
,E04,HEX,,Std,,24.0080511216599,37100
,E05,HEX,,Std,,24.0238701424053,37100
,G01,HEX,,Std,,27.7882802924897,3710
,G02,HEX,,Std,,27.7654578807627,3710
,G03,HEX,,Std,,27.5461798585638,3710
,G04,HEX,,Std,,27.743578443551,3710
,G05,HEX,,Std,,27.6107175372381,3710
,I01,HEX,,Std,,31.2428851518829,371
,I02,HEX,,Std,,31.2215081438778,371
,I03,HEX,,Std,,31.2706401518403,371
,I04,HEX,,Std,,31.0363778731975,371
,I05,HEX,,Std,,31.0562876052383,371
,K01,HEX,,Std,,34.5573151959121,37.1
,K02,HEX,,Std,,35.1234021193674,37.1
,K03,HEX,,Std,,34.2468632178053,37.1
,K04,HEX,,Std,,34.2463363110459,37.1
,K05,HEX,,Std,,34.6960067029887,37.1
,M01,HEX,,Std,,35.7228855039869,3.71
,M02,HEX,,Std,,35.5759068127528,3.71
,M03,HEX,,Std,,35.9792475428135,3.71
,M04,HEX,,Std,,34.9371513231038,3.71
,M05,HEX,,Std,,35.0002774461334,3.71
,O01,HEX,,Std,,NaN,0.371
,O02,HEX,,Std,,NaN,0.371
,O03,HEX,,Std,,NaN,0.371
,O04,HEX,,Std,,NaN,0.371
,O05,HEX,,Std,,NaN,0.371
,P20,HEX,,NTC,NTC,NaN,NaN
,P21,HEX,,NTC,NTC,NaN,NaN
,P22,HEX,,NTC,NTC,NaN,NaN
,P23,HEX,,NTC,NTC,NaN,NaN
,P24,HEX,,NTC,NTC,NaN,NaN
